Time,Sensor 1,Sensor 2,Type,Concentration
387,0.48374274,0.434519081,4,0.4
388,0.486168826,0.434414733,4,0.4
389,0.488542534,0.434476148,4,0.4
390,0.490836883,0.433841514,4,0.4
391,0.492407396,0.433688962,4,0.4
392,0.494121283,0.433493581,4,0.4
393,0.49656974,0.433791845,4,0.4
394,0.498802448,0.433644946,4,0.4
395,0.500918982,0.433466449,4,0.4
396,0.50275108,0.433299271,4,0.4
397,0.504708441,0.433135539,4,0.4
398,0.505963893,0.432490215,4,0.4
399,0.507282964,0.432178656,4,0.4
400,0.508622467,0.432398317,4,0.4
401,0.510868869,0.432263314,4,0.4
402,0.512496994,0.432087806,4,0.4
403,0.513955127,0.431823577,4,0.4
404,0.515332105,0.43169831,4,0.4
405,0.516650809,0.431036576,4,0.4
406,0.51695347,0.430676658,4,0.4
407,0.517556385,0.430387195,4,0.4
408,0.519071893,0.430567402,4,0.4
409,0.520090645,0.430350644,4,0.4
410,0.521203484,0.43009122,4,0.4
411,0.522056195,0.429734867,4,0.4
412,0.522539908,0.4294592,4,0.4
413,0.523327529,0.428825426,4,0.4
414,0.522745044,0.428501228,4,0.4
415,0.523694241,0.428746761,4,0.4
416,0.52439269,0.428561848,4,0.4
417,0.525010464,0.428165474,4,0.4
418,0.525127593,0.427966158,4,0.4
419,0.52546952,0.427637605,4,0.4
420,0.525059041,0.426889732,4,0.4
421,0.524951954,0.426428504,4,0.4
422,0.524769352,0.426613581,4,0.4
423,0.525532132,0.426369824,4,0.4
424,0.52580778,0.426079009,4,0.4
425,0.525677901,0.425698391,4,0.4
426,0.525839674,0.425406324,4,0.4
427,0.525831232,0.424556245,4,0.4
428,0.52473124,0.424244615,4,0.4
429,0.524289866,0.423864137,4,0.4
430,0.524511961,0.424001275,4,0.4
431,0.524567443,0.423656089,4,0.4
432,0.524431444,0.423385084,4,0.4
433,0.524213812,0.423066587,4,0.4
434,0.52382826,0.422820261,4,0.4
435,0.523070072,0.421754409,4,0.4
436,0.521874215,0.42126638,4,0.4
437,0.521504804,0.421393825,4,0.4
438,0.521418151,0.421058416,4,0.4
439,0.521001099,0.420743639,4,0.4
440,0.52050399,0.42040222,4,0.4
441,0.520047155,0.42008516,4,0.4
442,0.518841596,0.419440627,4,0.4
443,0.517861693,0.418668759,4,0.4
444,0.516993132,0.418639401,4,0.4
445,0.516821774,0.418368116,4,0.4
446,0.516458483,0.417909342,4,0.4
447,0.515773877,0.417542108,4,0.4
448,0.514932929,0.417068598,4,0.4
449,0.514459412,0.416222862,4,0.4
450,0.512943866,0.415800037,4,0.4
451,0.511804605,0.415348338,4,0.4
452,0.511510033,0.415428167,4,0.4
453,0.511025323,0.415080147,4,0.4
454,0.510395224,0.414729333,4,0.4
455,0.509656167,0.41439808,4,0.4
456,0.508742452,0.414114101,4,0.4
457,0.507538026,0.412899323,4,0.4
458,0.505947837,0.412290155,4,0.4
459,0.50507316,0.412438039,4,0.4
460,0.504895169,0.412100686,4,0.4
461,0.5042327,0.411691153,4,0.4
462,0.503495125,0.411265975,4,0.4
463,0.502650487,0.4108657,4,0.4
464,0.501277896,0.409955368,4,0.4
465,0.499999941,0.409437211,4,0.4
466,0.498931325,0.409392058,4,0.4
467,0.49872451,0.409145402,4,0.4
468,0.498134793,0.408749962,4,0.4
469,0.497402447,0.40836955,4,0.4
470,0.496617727,0.407925257,4,0.4
471,0.495800153,0.40702255,4,0.4
472,0.494111844,0.406448607,4,0.4
473,0.492831182,0.405939341,4,0.4
474,0.492551284,0.405991101,4,0.4
475,0.491911026,0.405575453,4,0.4
476,0.491186382,0.405162013,4,0.4
477,0.490366322,0.404718623,4,0.4
478,0.489525895,0.404364497,4,0.4
479,0.488745243,0.403353147,4,0.4
480,0.486769321,0.402848319,4,0.4
481,0.486200878,0.402849654,4,0.4
482,0.485724918,0.402389247,4,0.4
483,0.484827,0.401953676,4,0.4
484,0.483981246,0.401589047,4,0.4
485,0.483354661,0.401187426,4,0.4
486,0.482886736,0.400477885,4,0.4
487,0.480935494,0.399817499,4,0.4
488,0.47983585,0.399625674,4,0.4
489,0.479568766,0.399286274,4,0.4
490,0.478981123,0.398978683,4,0.4
491,0.478328407,0.398524997,4,0.4
492,0.477628624,0.398101836,4,0.4
493,0.476882253,0.397249533,4,0.4
